Temp,Humd,Label
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
26.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
27.0,17.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
28.0,16.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
27.0,17.0,1.0
