Temp,Humd,Label
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
26.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
27.0,17.0,1
